congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,Resources,Mr. Simpson,27,,
106,1999-01-06,H.Res.6,Resources,Mr. Tancredo,28,,
106,1999-01-06,H.Res.6,Rules,Mr. Dreier,1,Chairman,
106,1999-01-06,H.Res.6,Rules,Mr. Goss,2,,
106,1999-01-06,H.Res.6,Rules,Mr. Linder,3,,
106,1999-01-06,H.Res.6,Rules,Ms. Pryce of Ohio,4,,
106,1999-01-06,H.Res.6,Rules,Mr. Diaz-Balart,5,,
106,1999-01-06,H.Res.6,Rules,Mr. Hastings of Washington,6,,
106,1999-01-06,H.Res.6,Rules,Mrs. Myrick,7,,
106,1999-01-06,H.Res.6,Rules,Mr. Sessions,8,,
106,1999-01-06,H.Res.6,Rules,Mr. Reynolds,9,,
106,1999-01-06,H.Res.6,Science,Mr. Sensenbrenner,1,Chairman,
106,1999-01-06,H.Res.6,Science,Mr. Boehlert,2,,
106,1999-01-06,H.Res.6,Science,Mr. Smith of Texas,3,,
106,1999-01-06,H.Res.6,Science,Mrs. Morella,4,,
106,1999-01-06,H.Res.6,Science,Mr. Weldon of Pennsylvania,5,,
106,1999-01-06,H.Res.6,Science,Mr. Rohrabacher,6,,
106,1999-01-06,H.Res.6,Science,Mr. Barton of Texas,7,,
106,1999-01-06,H.Res.6,Science,Mr. Calvert,8,,
106,1999-01-06,H.Res.6,Science,Mr. Smith of Michigan,9,,
106,1999-01-06,H.Res.6,Science,Mr. Bartlett of Maryland,10,,
106,1999-01-06,H.Res.6,Science,Mr. Ehlers,11,,
106,1999-01-06,H.Res.6,Science,Mr. Weldon of Florida,12,,
106,1999-01-06,H.Res.6,Science,Mr. Gutknecht,13,,
106,1999-01-06,H.Res.6,Science,Mr. Ewing,14,,
106,1999-01-06,H.Res.6,Science,Mr. Cannon,15,,
106,1999-01-06,H.Res.6,Science,Mr. Brady of Texas,16,,
106,1999-01-06,H.Res.6,Science,Mr. Cook,17,,
106,1999-01-06,H.Res.6,Science,Mr. Nethercutt,18,,
106,1999-01-06,H.Res.6,Science,Mr. Lucas of Oklahoma,19,,
106,1999-01-06,H.Res.6,Science,Mr. Green of Wisconsin,20,,
106,1999-01-06,H.Res.6,Science,Mr. Kuykendall,21,,
106,1999-01-06,H.Res.6,Science,Mr. Gary Miller of California,22,,
106,1999-01-06,H.Res.6,Science,Mrs. Biggert,23,,
106,1999-01-06,H.Res.6,Small Business,Mr. Talent,1,Chairman,
106,1999-01-06,H.Res.6,Small Business,Mr. Combest,2,,
106,1999-01-06,H.Res.6,Small Business,Mr. Hefley,3,,
106,1999-01-06,H.Res.6,Small Business,Mr. Manzullo,4,,
106,1999-01-06,H.Res.6,Small Business,Mr. Bartlett of Maryland,5,,
106,1999-01-06,H.Res.6,Small Business,Mr. LoBiondo,6,,
106,1999-01-06,H.Res.6,Small Business,Mrs. Kelly,7,,
106,1999-01-06,H.Res.6,Small Business,Mr. Chabot,8,,
106,1999-01-06,H.Res.6,Small Business,Mr. English,9,,
106,1999-01-06,H.Res.6,Small Business,Mr. McIntosh,10,,
106,1999-01-06,H.Res.6,Small Business,Mr. Hill of Montana,11,,
106,1999-01-06,H.Res.6,Small Business,Mr. Pitts,12,,
106,1999-01-06,H.Res.6,Small Business,Mr. Forbes,13,,
106,1999-01-06,H.Res.6,Small Business,Mr. Sweeney,14,,
106,1999-01-06,H.Res.6,Small Business,Mr. Toomey,15,,
106,1999-01-06,H.Res.6,Small Business,Mr. DeMint,16,,
106,1999-01-06,H.Res.6,Standards of Official Conduct,Mr. Smith of Texas,1,Chairman,
106,1999-01-06,H.Res.6,Transportation and Infrastructure,Mr. Shuster,1,Chairman,
